TRI_FACILITY_ID,REGION,FAC_LONGITUDE,FAC_LATITUDE
31537CLPPREASYS,4,820036,304949
18301NTDST830CR,3,751153,410121
18045THBTH25THL,3,753086,403468
4403WLCMFG1584M,5,0,0
14589THTCH4135R,2,771100,431200
14603MXNGQ135MT,2,773941,430914
48854WYTHY400WN,5,853300,423415
02836KNYNL1425K,1,713024,412713
49203KNTMR1600E,5,842155,421354
98204HNYWL6500H,10,1221920,475348
44117RLNCL24703,5,813124,413500
39401HTTSB6633U,4,891521,311630
44890MDWST979SC,5,824551,410245
9822WSCSTR18416,10,,
49010LLGNM1274L,5,855130,423130
50450LRSNM500LA,7,933130,432540
15641HYDPRRAILR,3,793000,403730
65453CBNDSCOMME,7,912353,380308
40502KNTCK2300R,4,842750,380046
54481WDWRD2301C,5,893128,443052
77571LPRTC2400M,6,950430,294330
37921LLDTM1601M,4,840045,375730
15067LLDBLPINES,3,790217,401231
3394WCMXPR193PE,4,,
47038SWTZR2300H,5,845119,385130
48116PCKGD12424,5,836958,425095
45040HMLTN4219U,5,841652,392241
14845HRDNG3575O,2,764930,420840
53214SMNSP1040S,5,875959,430114
27542KNLYWPOBOX,4,780750,353518
40258KYLC07520D,4,,
44060HGNND7750D,5,811954,414057
72315TRRNT1000T,6,895050,355252
07626HKNCR1TENA,2,735749,405619
47802CSNLL455WI,5,872128,392325
19013TRSCQ800WF,3,752230,395000
06479LLDCN100RE,1,725718,413450
47446CRTSC1400W,5,862930,384400
7758WNNDST4631L,6,,
94128CHVRNCHEVR,9,1225304,373711
27415LLNBRHWY29,4,794300,361033
44483WSTMN101TI,5,804708,411607
30209GRGXD6229T,4,835052,333627
15033THRMR85WAS,3,795140,400958
78130NWBRN3150I,6,980917,294028
15068NDSTRLOGAN,3,794530,403240
47933RYBST1204D,5,865200,400230
44641JLSPC1500W,5,811600,405001
76117WRTHD4410M,6,971700,324630
66203TDMNF11415,7,944311,390137
39401SNBMC95WLR,4,891550,311530
60803RDCNC12400,5,874454,414003
48036TWRTM44850,5,825234,423741
28210HCHST2300A,4,805155,350841
21045HTTMN9190R,3,764934,391354
95134CYPRS3901N,9,1215648,372439
25143MNSNT1MONA,3,815044,382613
53225NRTHW11710,5,880303,430606
55113MLTLY2520T,5,931222,450042
40484HKMSTSTANF,4,843952,373152
33865FLRDFHWY64,4,815513,272853
74115HNDRL1240N,6,955625,361000
64658HRFFJ726EA,7,925645,394400
72916HRMWL7401H,6,922307,351852
45225KHNSN3241S,5,842130,390830
95660LVNGS5416R,9,1212235,383958
38106LLDGR906ST,4,900321,350715
38108QCHMC3324C,4,895657,351031
85008RCDST1122N,9,1115822,332739
13760CHNNG2507W,2,760207,420633
75243TRQNT13512,6,964500,325548
52001DBQPW920KE,7,903930,423011
25303STHCH3100M,3,814205,382155
37367JHNSN1FERR,4,482049,4402317
85040CSTMC5815S,9,1120101,332323
01105SPRRP595MA,1,723000,420000
60616LLDMT2059S,5,873817,415113
36331DRCST201NI,4,855210,312030
45066GYSTN200PI,5,841530,393300
34987LLDNV9549R,4,802857,271724
91722CTTRB1630I,9,1175519,340528
70340BLLNG697DE,6,910635,293849
48083CRTSP2260S,5,830730,423320
6510WBSTBL223EM,7,,
15522BDFRDRD2BO,3,783148,400615
70057NNCRBROUTE,6,0,0
28613CSTMF1560D,4,811530,354210
30284SHWND1900W,4,823225,332650
94545PPSCL29000,9,1200515,373654
64125HCKTTCOGST,7,942928,390630
02895SLHTT43RAI,1,713051,420014
62454HRSHY1401W,5,874533,390019
29730HCHST2850C,4,805848,345837
38663WDCRFMURRA,4,885444,344620
12601KMPLS2BECK,2,735552,414315
28151KMTLC2501W,4,813555,351735
85226SHLND6839W,9,1115734,331802
19355CYPRS15SOU,3,753535,400220
4810WSPRRM91SWA,5,,
07644HBKNP40IND,2,514632,381328
49221NDRSN525GU,5,840105,415334
60432MRCNS927CO,5,885124,413221
48187BRNDR7505B,5,832711,422025
75712THKLLHWY31,6,952340,321944
60033CJMFG600CH,5,873751,422522
23661CRFTM21024,3,715420,262040
45750VNGRD1409G,5,812527,392530
27870RSMRY12THS,4,774257,362512
28645HSTRNHWY90,4,813405,355710
45865DNNNC216SO,5,842230,402230
24543WDFBRGYPSU,3,793039,363428
45887FLXBLBAILE,5,842058,404152
17304KNSFD1425C,3,0,0
03103HTCHC900HO,1,712415,425845
29644KMTLC201FA,4,821259,344107
29646KMTLC2605L,4,820631,341349
76705LMSTL321OL,6,970630,313720
46345KNGSB3RDRD,5,0,0
82718TRTNC510RE,8,1051534,433808
17361MPNCX50WCL,3,764107,394636
99352RCHLNHANFO,10,1191659,462241
39208WRNGL630HW,4,901013,321652
17201SDDSRATTNS,3,773725,400005
53083LRCRP2907N,5,874353,434634
30236KWNRC7468H,4,842053,333259
40258RPBLC731LG,4,,
67214KNSSP1110N,7,971939,374210
90063HTKPL3929M,9,1181019,340339
16023RMSTR100CL,3,794230,404730
46517GLBLG58190,5,855728,413700
47025RGSCRNFRON,5,845140,390459
55430HWTHR17006,5,931812,450437
28601HCKRY90012,4,812212,354515
18944HLNSTHILIN,3,751704,402304
16107FLWLN1400N,3,0,0
48089WLVRN22550,5,,
44830LLDSG1600N,5,832455,411045
73036DXTRX500SE,6,975843,353059
44667DRYFR429WE,5,814640,405010
78602SRMYC2SH95,6,0,0
22603SWRDN1481L,3,780853,391310
38829WLVRN1WOLV,4,883219,344100
47161KLLRMCORYD,5,860612,381813
49351FCTRY9345C,5,853230,430700
29602MCHLN1401A,4,822212,344343
1632WFRNKL655GR,3,,
24333CNSLD110JA,3,805430,364050
22701KLLRMSTATE,3,775930,382730
48604GLSTN1455A,5,835600,432900
16354NVRSL121CA,3,793936,413727
91605KDMRC10913,9,1182204,341142
90620KDCMP68818,9,,
92316QLNCL2307S,9,1172203,340332
